"Book Report 2 (R1) "," Number of Successful Section Requests by Month and Title "
"MPI WG"
Date run:
"2010-01-06"
"","Publisher","Platform","ISBN","ISSN","Jan-2009","Feb-2009","Mar-2009","Apr-2009","May-2009","Jun-2009","Jul-2009","Aug-2009","Sep-2009","Oct-2009","Nov-2009","Dec-2009","YTD Total"
"Genetics_Genomics Drosophila Cytogenetics Protocols","Humana Press","SpringerProtocols","978-1-58829-050-2","",0,0,2,1,26,27,1,1,1,0,2,0,61
"Genetics_Genomics Drug-DNA Interaction Protocols","Humana Press","SpringerProtocols","978-0-89603-447-1","",0,0,0,0,18,0,6,0,0,0,0,0,24
"Genetics_Genomics Environmental Genomics","Humana Press","SpringerProtocols","978-1-58829-777-8","",0,0,0,1,18,0,0,0,0,0,1,0,20
"Genetics_Genomics Epigenetics Protocols","Humana Press","SpringerProtocols","978-1-58829-336-7","",2,0,2,0,24,0,1,0,1,0,3,2,35
"Genetics_Genomics Epitope Mapping Protocols: Second Edition","Humana Press","SpringerProtocols","978-1-934115-17-6","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Genetics_Genomics Expressed Sequence Tags (ESTs): Generation and Analysis","Humana Press","SpringerProtocols","","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Genetics_Genomics Forensic DNA Profiling Protocols","Humana Press","SpringerProtocols","978-0-89603-443-3","",0,5,0,1,25,2,0,0,0,25,0,1,59
"Genetics_Genomics Forensic DNA Typing Protocols","Humana Press","SpringerProtocols","978-1-58829-264-3","",0,1,0,0,19,0,0,0,0,20,0,0,40
"Genetics_Genomics Functional Genomics: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-291-9","",2,1,1,1,15,0,0,0,0,1,0,0,21
"Genetics_Genomics G-Quadruplex DNA: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-950-5","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Genetics_Genomics Gene Delivery to Mammalian Cells: Volume 1: Nonviral Gene Transfer Techniques","Humana Press","SpringerProtocols","978-1-58829-086-1","",0,10,4,0,24,4,22,1,1,0,0,0,66
"Genetics_Genomics Gene Delivery to Mammalian Cells: Volume 2: Viral Gene Transfer Techniques","Humana Press","SpringerProtocols","978-1-58829-095-3","",0,0,1,0,40,2,1,0,0,1,2,2,49
"Genetics_Genomics Gene Expression Profiling: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-220-9","",0,0,0,1,10,0,0,0,0,0,0,0,11
"Genetics_Genomics Gene Function Analysis","Humana Press","SpringerProtocols","978-1-58829-734-1","",2,0,2,2,21,0,0,0,0,1,0,0,28
"Genetics_Genomics Gene Isolation and Mapping Protocols","Humana Press","SpringerProtocols","978-0-89603-482-2","",0,0,0,1,19,0,0,0,0,0,0,0,20
"Genetics_Genomics Gene Knockout Protocols","Humana Press","SpringerProtocols","978-0-89603-572-0","",3,6,0,2,25,0,1,2,0,2,0,0,41
"Genetics_Genomics Gene Knockout Protocols: Second Edition","Humana Press","SpringerProtocols","978-1-934115-26-8","",0,0,0,0,0,1,0,0,0,0,0,0,1
"Genetics_Genomics Gene Mapping, Discovery, and Expression: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-575-0","",2,0,4,1,23,0,0,1,0,0,0,0,31
"Genetics_Genomics Gene Probes: Principles and Protocols","Humana Press","SpringerProtocols","978-0-89603-885-1","",3,0,2,0,23,1,1,2,0,0,1,0,33
"Genetics_Genomics Gene Targeting Protocols","Humana Press","SpringerProtocols","978-0-89603-360-3","",1,0,0,3,16,0,0,0,0,0,0,0,20
"Genetics_Genomics Gene Therapy Protocols - 1","Humana Press","SpringerProtocols","978-0-89603-484-6","",0,0,0,0,0,29,1,0,0,0,0,0,30
"Genetics_Genomics Gene Therapy Protocols - 2","Humana Press","SpringerProtocols","978-0-89603-723-6","",1,0,2,0,1,33,3,0,0,0,0,0,40
"Genetics_Genomics Gene Therapy Protocols: Design and Characterization of Gene Transfer Vectors","Humana Press","SpringerProtocols","978-1-60327-247-6","",2,0,2,0,32,1,1,1,0,19,0,0,58
"Genetics_Genomics Gene Therapy Protocols: Production and In Vivo Applications of Gene Transfer Vectors","Humana Press","SpringerProtocols","978-1-58829-903-1","",1,0,0,0,23,4,1,1,0,23,0,0,53
"Genetics_Genomics Gene Transfer and Expression Protocols","Humana Press","SpringerProtocols","978-0-89603-178-4","",0,0,2,0,38,6,3,1,0,34,1,1,86
"Genetics_Genomics Generation of cDNA Libraries: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-066-3","",2,5,1,0,28,2,0,5,0,0,0,0,43
"Genetics_Genomics Genetic Recombination: Reviews and Protocols","Humana Press","SpringerProtocols","978-1-58829-236-0","",0,0,0,0,15,1,0,0,0,0,0,0,16
"Genetics_Genomics Genomic Imprinting: Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-741-0","",0,0,1,1,28,0,0,0,0,1,0,0,31
"Genetics_Genomics Genomics Protocols - 1","Humana Press","SpringerProtocols","978-1-58829-871-3","",5,1,1,2,33,1,0,3,0,2,3,0,51
"Genetics_Genomics Genomics Protocols - 2","Humana Press","SpringerProtocols","978-0-89603-774-8","",0,1,1,0,30,0,1,0,0,0,0,0,33
"Genetics_Genomics Horizontal Gene Transfer: Genomes in Flux","Humana Press","SpringerProtocols","978-1-60327-852-2","",0,0,0,0,0,0,0,0,0,0,0,1,1
"Genetics_Genomics In Situ Detection of DNA Damage: Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-952-0","",1,1,2,0,22,0,1,0,0,0,0,0,27
"Genetics_Genomics In Situ Hybridization Protocols - 3","Humana Press","SpringerProtocols","978-0-89603-280-4","",0,0,0,1,34,0,0,0,0,2,0,1,38
"Genetics_Genomics In Vitro Mutagenesis Protocols - 2","Humana Press","SpringerProtocols","978-0-89603-910-0","",2,1,1,4,27,0,0,0,2,1,0,4,42
"Genetics_Genomics In Vitro Transcription and Translation Protocols - 1","Humana Press","SpringerProtocols","978-1-58829-558-3","",0,3,0,0,13,0,2,3,5,2,0,0,28
"Genetics_Genomics In Vitro Transcription and Translation Protocols - 2","Humana Press","SpringerProtocols","978-0-89603-288-0","",0,0,4,0,45,0,3,0,0,2,1,2,57
"Genetics_Genomics Lentivirus Gene Engineering Protocols","Humana Press","SpringerProtocols","978-1-58829-091-5","",1,24,0,3,28,0,0,0,3,0,26,0,85
"Genetics_Genomics Linkage Disequilibrium and Association Mapping: Analysis and Applications","Humana Press","SpringerProtocols","978-1-58829-669-6","",0,0,0,0,15,0,0,1,0,0,0,0,16
"Genetics_Genomics Mammalian Artificial Chromosomes: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-096-0","",0,1,0,0,13,0,0,0,0,0,0,0,14
"Genetics_Genomics MicroRNA Protocols","Humana Press","SpringerProtocols","978-1-58829-581-1","",0,2,1,3,27,4,3,3,0,0,0,2,45
"Genetics_Genomics Microarray Analysis of the Physical Genome: Methods and Protocols","Humana Press","SpringerProtocols","978-1-60327-191-2","",0,0,0,0,0,0,0,0,0,0,5,23,28
"Genetics_Genomics Microarray Data Analysis: Methods and Applications","Humana Press","SpringerProtocols","978-1-58829-540-8","",2,21,3,0,16,0,0,0,0,2,0,16,60
"Genetics_Genomics Microarrays: Volume 1: Synthesis Methods","Humana Press","SpringerProtocols","978-1-58829-589-7","",1,0,3,1,25,4,0,1,0,22,0,0,57
"Genetics_Genomics Microarrays: Volume 2: Applications and Data Analysis","Humana Press","SpringerProtocols","978-1-58829-944-4","",3,1,1,0,27,0,3,0,0,30,0,4,69
"Genetics_Genomics Microbial Gene Essentiality: Protocols and Bioinformatics","Humana Press","SpringerProtocols","978-1-58829-378-7","",0,1,0,1,31,1,1,0,0,0,0,0,35
"Genetics_Genomics Microchip-Based Assay Systems: Methods and Applications","Humana Press","SpringerProtocols","978-1-58829-588-0","",0,1,1,0,16,0,0,0,0,0,0,0,18
"Genetics_Genomics Mobile Genetic Elements: Protocols and Genomic Applications","Humana Press","SpringerProtocols","978-1-58829-007-6","",1,0,0,0,15,2,5,0,0,0,0,1,24
"Genetics_Genomics Molecular Cytogenetics: Protocols and Applications","Humana Press","SpringerProtocols","978-1-58829-006-9","",1,0,0,0,26,1,1,2,0,2,0,0,33
"Genetics_Genomics Molecular Diagnosis of Genetic Diseases - 2","Humana Press","SpringerProtocols","978-0-89603-932-2","",0,0,0,0,0,20,0,0,0,1,0,0,21
"Genetics_Genomics PCR Cloning Protocols","Humana Press","SpringerProtocols","978-0-89603-969-8","",2,11,3,4,46,3,1,3,1,48,2,2,126
"Genetics_Genomics PCR Cloning Protocols: From Molecular Cloning to Genetic Engineering","Humana Press","SpringerProtocols","978-0-89603-483-9","",3,2,0,1,46,3,0,3,1,5,1,3,68
"Genetics_Genomics PCR Mutation Detection Protocols","Humana Press","SpringerProtocols","978-0-89603-617-8","",2,4,0,0,19,0,0,0,0,2,0,0,27
"Genetics_Genomics PCR Protocols","Humana Press","SpringerProtocols","978-0-89603-642-0","",4,4,0,1,78,5,2,2,3,73,2,3,177
"Genetics_Genomics PCR Protocols: Current Methods and Applications","Humana Press","SpringerProtocols","978-0-89603-244-6","",0,3,0,3,34,0,0,0,3,2,3,0,48
"Genetics_Genomics PCR in Bioanalysis","Humana Press","SpringerProtocols","978-0-89603-497-6","",0,0,0,0,24,0,1,0,0,1,0,0,26
"Genetics_Genomics PRINS and In Situ PCR Protocols - 1","Humana Press","SpringerProtocols","978-0-89603-395-5","",0,1,0,2,16,0,0,0,0,0,0,0,19
"Genetics_Genomics PRINS and In Situ PCR Protocols - 2","Humana Press","SpringerProtocols","978-1-58829-549-1","",0,0,0,0,21,0,0,0,0,0,1,0,22
"Genetics_Genomics Parasite Genomics Protocols","Humana Press","SpringerProtocols","978-1-58829-062-5","",2,0,1,1,24,2,0,1,2,0,0,0,33
"Genetics_Genomics Peptide Synthesis and Applications","Humana Press","SpringerProtocols","978-1-58829-317-6","",3,0,7,0,15,4,1,1,1,0,0,2,34
"Genetics_Genomics Post-Transcriptional Gene Regulation","Humana Press","SpringerProtocols","978-1-58829-783-9","",3,1,5,2,25,1,1,0,1,3,21,1,64
"Genetics_Genomics Protocols for Gene Analysis","Humana Press","SpringerProtocols","978-0-89603-258-3","",1,0,2,1,37,0,3,0,2,0,1,1,48
"Genetics_Genomics Protocols in Human Molecular Genetics","Humana Press","SpringerProtocols","978-0-89603-205-7","",1,0,0,0,32,0,0,0,1,0,0,0,34
"Genetics_Genomics Pyrosequencing Protocols","Humana Press","SpringerProtocols","978-1-58829-645-0","",0,0,0,0,14,0,0,0,0,0,0,0,14
"Genetics_Genomics Quantitative Trait Loci: Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-927-8","",0,0,1,0,13,0,0,0,1,1,0,0,16
"Genetics_Genomics RNA Silencing: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-436-4","",0,0,0,1,20,1,0,0,0,4,2,2,30
"Genetics_Genomics RNAi: Design and Application","Humana Press","SpringerProtocols","978-1-58829-874-4","",1,3,0,2,19,1,1,0,1,1,1,0,30
"Genetics_Genomics RT-PCR Protocols","Humana Press","SpringerProtocols","978-0-89603-875-2","",0,35,0,5,28,2,0,0,0,0,0,0,70
"Genetics_Genomics Rat Genomics: Methods and Protocols","Humana Press","SpringerProtocols","978-1-60327-388-6","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Genetics_Genomics Recombinant Gene Expression Protocols","Humana Press","SpringerProtocols","978-0-89603-480-8","",0,3,1,0,37,5,0,2,3,3,1,0,55
"Genetics_Genomics Recombinant Gene Expression: Reviews and Protocols","Humana Press","SpringerProtocols","978-1-58829-262-9","",2,5,4,2,35,1,4,1,1,3,4,0,62
"Genetics_Genomics Reporter Genes: A Practical Guide","Humana Press","SpringerProtocols","978-1-58829-739-6","",5,0,3,1,16,0,0,0,1,1,11,0,38
"Genetics_Genomics Reverse Chemical Genetics: Methods and Protocols","Humana Press","SpringerProtocols","978-1-60761-231-5","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Genetics_Genomics Sequence Data Analysis Guidebook","Humana Press","SpringerProtocols","978-0-89603-358-0","",0,0,2,3,27,1,0,0,0,0,0,0,33
"Genetics_Genomics Serial Analysis of Gene Expression (SAGE): Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-676-4","",0,1,0,3,16,1,2,0,0,0,1,1,25
"Genetics_Genomics Single Nucleotide Polymorphisms: Methods and Protocols - 1","Humana Press","SpringerProtocols","978-1-60327-410-4","",0,0,0,0,0,0,0,0,0,0,2,0,2
"Genetics_Genomics Single Nucleotide Polymorphisms: Methods and Protocols - 2","Humana Press","SpringerProtocols","978-0-89603-968-1","",0,0,0,0,18,0,0,0,0,0,0,0,18
"Genetics_Genomics Suicide Gene Therapy: Methods and Reviews","Humana Press","SpringerProtocols","978-0-89603-971-1","",0,0,0,0,0,27,1,0,0,0,0,0,28
"Genetics_Genomics Telomeres and Telomerase: Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-657-4","",1,0,0,0,15,0,0,0,0,1,0,0,17
"Genetics_Genomics Therapeutic Applications of RNAi: Methods and Protocols","Humana Press","SpringerProtocols","978-1-60327-294-0","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Genetics_Genomics Transcription Factor Protocols","Humana Press","SpringerProtocols","978-0-89603-573-7","",2,2,1,0,22,6,4,6,1,2,0,1,47
"Genetics_Genomics Transgenesis Techniques: Principles and Protocols - 1","Humana Press","SpringerProtocols","978-1-60327-018-2","",0,0,0,0,0,0,0,0,1,0,0,0,1
"Genetics_Genomics Transgenesis Techniques: Principles and Protocols - 2","Humana Press","SpringerProtocols","978-0-89603-245-3","",1,17,0,2,54,1,4,0,0,1,1,2,83
"Genetics_Genomics Transgenesis Techniques: Principles and Protocols - 3","Humana Press","SpringerProtocols","978-0-89603-696-3","",0,1,0,1,22,1,1,0,1,0,0,2,29
"Genetics_Genomics Transgenic Mouse: Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-915-5","",0,0,1,2,19,4,1,1,0,0,0,1,29
"Genetics_Genomics Transgenic Wheat, Barley and Oats: Production and Characterization Protocols","Humana Press","SpringerProtocols","978-1-58829-961-1","",1,4,10,1,22,3,1,0,0,0,0,1,43
"Genetics_Genomics Viral Vectors for Gene Therapy: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-019-9","",0,0,0,0,3,36,5,1,0,0,0,1,46
"Genetics_Genomics YAC Protocols - 1","Humana Press","SpringerProtocols","978-0-89603-313-9","",0,0,0,0,28,0,1,0,0,0,0,2,31
"Genetics_Genomics YAC Protocols - 2","Humana Press","SpringerProtocols","978-1-58829-612-2","",0,1,0,0,17,0,3,0,1,18,0,1,41
"Genetics_Genomics cDNA Library Protocols","Humana Press","SpringerProtocols","978-0-89603-383-2","",1,4,0,1,27,0,0,0,5,4,1,5,48
"Imaging_Radiology Atomic Force Microscopy: Biomedical Methods and Applications","Humana Press","SpringerProtocols","978-1-58829-094-6","",0,1,0,33,29,0,0,0,0,0,0,0,63
"Imaging_Radiology Biosensors and Biodetection","Humana Press","SpringerProtocols","978-1-60327-566-8","",0,0,0,2,25,0,0,0,0,1,0,0,28
"Imaging_Radiology Biosensors and Biodetection: Methods and Protocols: Electrochemical and Mechanical Detectors, Lateral Flow and Ligands for Biosensors","Humana Press","SpringerProtocols","978-1-60327-568-2","",0,1,0,1,25,3,3,0,2,0,0,0,35
"Imaging_Radiology Cell Imaging Techniques: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-157-8","",1,6,3,3,22,1,0,1,1,1,0,2,41
"Imaging_Radiology Confocal Microscopy Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-526-3","",2,19,7,0,24,1,1,0,2,0,0,0,56
"Imaging_Radiology Dynamic Brain Imaging: Multi-Modal Methods and In Vivo Applications","Humana Press","SpringerProtocols","978-1-934115-74-9","",2,2,17,0,15,3,2,0,0,0,0,0,41
"Imaging_Radiology Electron Microscopy Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-640-6","",20,0,0,0,17,0,1,0,0,0,2,2,42
"Imaging_Radiology Laser Capture Microdissection: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-260-5","",2,2,0,3,24,3,0,0,0,0,0,0,34
"Imaging_Radiology Live Cell Imaging: Methods and Protocols","Humana Press","SpringerProtocols","978-1-60761-403-6","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Imaging_Radiology Magnetic Resonance Imaging: Methods and Biologic Applications","Humana Press","SpringerProtocols","978-1-58829-397-8","",0,3,22,0,3,21,0,0,2,0,3,0,54
"Imaging_Radiology Microscopy, Optical Spectroscopy, and Macroscopic Techniques","Humana Press","SpringerProtocols","978-0-89603-232-3","",1,0,2,0,35,0,2,5,5,3,0,0,53
"Immunology Adoptive Immunotherapy: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-406-7","",2,0,0,0,0,31,0,0,0,0,0,0,33
"Immunology Antibiotic Resistence: Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-777-9","",0,0,0,0,1,28,0,0,0,0,0,0,29
"Immunology Antibody Engineering Protocols","Humana Press","SpringerProtocols","978-0-89603-275-0","",0,0,0,0,31,0,0,1,0,30,0,0,62
"Immunology Antigen Processing and Presentation Protocols","Humana Press","SpringerProtocols","978-0-89603-745-8","",1,0,0,4,30,0,0,2,1,0,0,0,38
"Immunology Autoimmunity: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-231-5","",0,1,0,1,0,23,0,0,0,1,0,0,26
"Immunology Cell Migration in Inflammation and Immunity: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-102-8","",2,2,1,2,22,0,3,1,0,0,0,0,33
"Immunology Chemokine Protocols","Humana Press","SpringerProtocols","978-0-89603-722-9","",1,4,2,2,36,1,0,3,0,2,0,0,51
"Immunology Complement Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-654-3","",2,0,0,2,17,0,1,0,0,0,0,0,22
"Immunology Cytokine Protocols","Humana Press","SpringerProtocols","978-0-89603-948-3","",0,1,0,0,19,1,0,0,0,0,0,0,21
"Immunology Cytokines and Colony Stimulating Factors: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-035-9","",0,2,0,0,28,0,0,2,0,0,0,0,32
"Immunology DNA Vaccines: Methods and Protocols - 2","Humana Press","SpringerProtocols","978-1-58829-484-5","",0,0,2,0,0,25,0,0,4,0,1,1,33
"Immunology Diagnostic and Therapeutic Antibodies","Humana Press","SpringerProtocols","978-0-89603-798-4","",1,1,1,34,1,32,1,0,0,1,0,0,72
"Immunology ELISA: Theory and Practice","Humana Press","SpringerProtocols","978-0-89603-279-8","",0,1,0,1,10,0,0,0,0,2,0,0,14
"Immunology Epstein-Barr Virus Protocols","Humana Press","SpringerProtocols","978-0-89603-690-1","",0,0,0,8,44,1,3,0,2,0,0,3,61
"Immunology Handbook of ELISPOT: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-469-2","",0,0,2,0,20,0,0,0,0,0,0,0,22
"Immunology Immunochemical Protocols - 1","Humana Press","SpringerProtocols","978-0-89603-493-8","",0,5,0,2,45,0,1,0,0,0,2,0,55
"Immunology Immunochemical Protocols - 2","Humana Press","SpringerProtocols","978-0-89603-204-0","",10,0,1,2,50,1,0,0,1,57,0,0,122
"Immunology Immunochemical Protocols: Third Edition","Humana Press","SpringerProtocols","978-1-58829-274-2","",0,2,0,4,21,0,2,0,0,0,0,0,29
"Immunology Immunocytochemical Methods and Protocols - 1","Humana Press","SpringerProtocols","978-1-58829-463-0","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Immunology Immunocytochemical Methods and Protocols - 2","Humana Press","SpringerProtocols","978-0-89603-285-9","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Immunology Immunocytochemical Methods and Protocols - 3","Humana Press","SpringerProtocols","978-0-89603-813-4","",0,56,0,2,55,0,6,0,0,3,0,0,122
"Immunology Immunoinformatics: Predicting Immunogenicity In Silico","Humana Press","SpringerProtocols","978-1-58829-699-3","",0,0,4,0,30,0,0,1,1,0,0,2,38
"Immunology Immunological Tolerance: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-652-8","",2,1,0,10,30,3,0,3,1,0,0,0,50
"Immunology Immunotoxin Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-775-5","",0,0,1,0,17,0,0,0,0,1,0,0,19
"Immunology Inflammation Protocols","Humana Press","SpringerProtocols","978-0-89603-970-4","",0,2,0,2,36,1,1,1,0,0,0,0,43
"Immunology Innate Immunity","Humana Press","SpringerProtocols","978-1-58829-746-4","",1,4,3,8,32,7,1,1,7,2,0,0,66
"Immunology MHC Protocols","Humana Press","SpringerProtocols","978-0-89603-548-5","",0,0,0,1,18,0,0,0,0,0,0,0,19
"Immunology Macrophages and Dendritic Cells: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-972-7","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Immunology Mast Cells: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-374-9","",4,8,17,27,36,0,33,0,0,0,0,0,125
"Immunology Meningococcal Vaccines: Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-801-1","",2,2,0,0,1,29,1,1,0,0,0,0,36
"Immunology Monoclonal Antibodies: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-567-5","",0,0,0,1,19,0,1,0,0,15,0,0,36
"Immunology Monoclonal Antibody Protocols","Humana Press","SpringerProtocols","978-0-89603-308-5","",0,0,2,0,28,0,0,0,0,29,0,0,59
"Immunology Natural Killer Cell Protocols: Cellular and Molecular Methods","Humana Press","SpringerProtocols","978-0-89603-683-3","",0,1,0,0,37,0,1,0,0,0,0,0,39
"Immunology Natural Killer Cell Protocols: Cellular and Molecular Methods - 1","Humana Press","SpringerProtocols","978-1-60761-361-9","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Immunology Neutrophil Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-788-4","",2,1,9,4,39,0,0,4,3,2,0,0,64
"Immunology New Antibiotic Targets","Humana Press","SpringerProtocols","978-1-58829-915-4","",1,0,0,0,0,20,0,0,1,1,1,0,24
"Immunology Superantigen Protocols","Humana Press","SpringerProtocols","978-0-89603-984-1","",0,0,0,0,15,0,0,0,0,1,0,0,16
"Immunology T Cell Protocols: Development and Activation","Humana Press","SpringerProtocols","978-0-89603-810-3","",2,0,0,2,34,0,1,1,6,1,0,0,47
"Immunology T Cell Protocols: Second Edition","Humana Press","SpringerProtocols","978-1-58829-587-3","",4,6,3,6,13,0,2,2,1,2,1,0,40
"Immunology Therapeutic Antibodies: Methods and Protocols","Humana Press","SpringerProtocols","","",0,0,0,0,0,0,0,0,0,1,0,0,1
"Immunology Toll-Like Receptors: Methods and Protocols","Humana Press","SpringerProtocols","978-1-934115-72-5","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Immunology Transplantation Immunology: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-544-6","",0,0,0,3,17,0,0,0,0,17,0,0,37
"Immunology Vaccine Adjuvants: Preparation Methods and Research Protocols","Humana Press","SpringerProtocols","978-0-89603-735-9","",0,7,1,0,0,21,0,0,0,1,2,1,33
"Immunology Vaccine Protocols - 1","Humana Press","SpringerProtocols","978-0-89603-334-4","",1,0,0,0,3,22,1,0,0,0,0,0,27
"Immunology Vaccine Protocols - 2","Humana Press","SpringerProtocols","978-1-58829-140-0","",0,0,0,0,0,24,1,0,0,0,0,0,25
"Infectious Diseases Antifungal Agents: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-277-3","",0,0,0,0,0,15,0,0,0,0,0,0,15
"Infectious Diseases Antiviral Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-561-4","",0,0,0,1,0,30,2,0,0,0,0,0,33
"Infectious Diseases Avian Influenza Virus","Humana Press","SpringerProtocols","978-1-58829-939-0","",0,3,0,1,16,0,0,0,0,0,1,1,22
"Infectious Diseases Bacterial Toxins: Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-604-8","",0,2,2,1,21,1,0,0,0,1,1,0,29
"Infectious Diseases Candida albicans: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-760-0","",0,0,0,0,18,0,0,0,0,0,0,0,18
"Infectious Diseases E. coli Plasmid Vectors: Methods and Applications","Humana Press","SpringerProtocols","978-1-58829-151-6","",4,32,5,35,38,3,0,4,4,7,9,3,144
"Infectious Diseases E. coli: Shiga Toxin Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-939-1","",0,0,0,0,0,24,0,0,1,0,0,0,25
"Infectious Diseases E. coliGene Expression Protocols","Humana Press","SpringerProtocols","978-1-58829-008-3","",0,4,0,5,22,2,0,1,1,1,2,1,39
"Infectious Diseases HIV Protocols - 1","Humana Press","SpringerProtocols","978-0-89603-369-6","",0,1,0,1,1,43,0,0,1,0,1,0,48
"Infectious Diseases HIV Protocols - 2","Humana Press","SpringerProtocols","978-1-58829-859-1","",0,5,0,0,35,1,2,2,1,31,0,0,77
"Infectious Diseases Haemophilus influenzae Protocols","Humana Press","SpringerProtocols","978-0-89603-928-5","",0,0,0,0,1,19,0,0,0,0,0,0,20
"Infectious Diseases Hepatitis B and D Protocols: Volume 1: Detection, Genotypes, and Characterization","Humana Press","SpringerProtocols","978-1-58829-105-9","",0,0,0,0,0,32,0,0,0,0,0,0,32
"Infectious Diseases Hepatitis B and D Protocols: Volume 2: Immunology, Model Systems, and Clinical Studies","Humana Press","SpringerProtocols","978-1-58829-108-0","",0,0,0,0,0,36,0,0,0,0,0,0,36
"Infectious Diseases Hepatitis C Protocols","Humana Press","SpringerProtocols","978-0-89603-521-8","",0,0,1,0,0,59,0,0,0,0,0,0,60
"Infectious Diseases Hepatitis C: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-970-3","",0,0,0,1,32,0,1,1,1,1,0,0,37
"Infectious Diseases Herpes Simplex Virus Protocols","Humana Press","SpringerProtocols","978-0-89603-347-4","",0,0,0,0,0,26,1,0,0,0,1,0,28
"Infectious Diseases Host-Pathogen Interactions: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-886-7","",0,0,6,2,26,0,0,0,0,0,2,0,36
"Infectious Diseases Human Papillomaviruses: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-373-2","",0,0,0,0,0,33,0,0,0,0,0,0,33
"Infectious Diseases Human Retrovirus Protocols: Virology and Molecular Biology","Humana Press","SpringerProtocols","978-1-58829-495-1","",0,1,0,0,39,0,1,1,0,0,0,0,42
"Infectious Diseases Malaria Methods and Protocols: Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-823-3","",0,0,2,0,0,62,1,0,0,0,0,0,65
"Infectious Diseases Meningococcal Disease: Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-849-3","",0,1,0,1,1,40,0,0,0,1,0,0,44
"Infectious Diseases Methicillin-Resistant Staphylococcus aureus (MRSA) Protocols","Humana Press","SpringerProtocols","978-1-58829-655-9","",0,0,0,0,20,0,0,0,0,0,0,0,20
"Infectious Diseases Molecular Diagnosis of Infectious Diseases - 1","Humana Press","SpringerProtocols","978-0-89603-485-3","",3,3,2,1,0,36,7,0,1,0,1,2,56
"Infectious Diseases Molecular Diagnosis of Infectious Diseases - 2","Humana Press","SpringerProtocols","978-1-58829-221-6","",0,1,2,3,1,26,2,1,0,0,2,1,39
"Infectious Diseases Prion Diseases","Humana Press","SpringerProtocols","978-0-89603-342-9","",0,0,0,1,0,18,0,0,0,0,0,0,19
"Infectious Diseases SARS- and Other Coronaviruses: Laboratory Protocols","Humana Press","SpringerProtocols","","",0,0,0,0,23,0,0,0,0,0,0,0,23
